RowNumber,Exited,P_hat
1,1,0.124048376
2,0,0.159204973
3,1,0.326059828
4,0,0.226188703
5,0,0.15631115
6,1,0.246174521
7,0,0.098719564
8,1,0.29332809
9,0,0.11634158
10,0,0.036933178
11,0,0.123880713
12,0,0.060543442
13,0,0.169996784
14,0,0.09890818
15,0,0.066085382
16,0,0.219463871
17,1,0.700780182
18,0,0.031634465
19,0,0.226261917
20,0,0.029507003
21,0,0.056222696
22,0,0.140979224
23,1,0.244589283
24,0,0.088234674
25,0,0.079724861
26,0,0.0219016
27,0,0.129248069
28,0,0.19246776
29,0,0.317693238
30,0,0.046570475
31,1,0.216895448
32,0,0.069249312
33,0,0.367197861
34,0,0.114420341
35,0,0.040123627
36,1,0.455618297
37,0,0.054523182
38,0,0.047318414
39,0,0.040989729
40,0,0.167228596
41,0,0.184907249
42,1,0.533675844
43,0,0.454691714
44,1,0.459573965
45,0,0.427746471
46,0,0.139614507
47,1,0.099642462
48,1,0.232623359
49,0,0.163599237
50,0,0.413557985
51,0,0.392129114
52,0,0.297936322
53,0,0.143137961
54,1,0.377950005
55,1,0.429158481
56,0,0.114969538
57,0,0.287465226
58,0,0.115886716
59,1,0.712177833
60,0,0.176873411
61,0,0.280358767
62,0,0.246863812
63,0,0.145836842
64,0,0.220049665
65,0,0.07113095
66,0,0.178054617
67,0,0.419368339
68,0,0.166579486
69,0,0.178110867
70,0,0.1003767
71,1,0.620806067
72,0,0.07279412
73,0,0.124345053
74,0,0.098330758
75,0,0.044960111
76,0,0.099794818
77,0,0.147102674
78,0,0.055610841
79,0,0.050276665
80,0,0.515535448
81,0,0.226850824
82,1,0.15289898
83,0,0.201909483
84,0,0.104396437
85,0,0.347513265
86,0,0.549500787
87,1,0.068372807
88,0,0.07190064
89,1,0.304012629
90,0,0.118483891
91,1,0.112455389
92,0,0.242442953
93,0,0.18652748
94,0,0.023720711
95,0,0.063981057
96,0,0.063884183
97,0,0.081425755
98,0,0.06562455
99,0,0.04268061
100,0,0.113651267
101,0,0.100244628
102,0,0.290122579
103,0,0.113364604
104,0,0.12406164
105,1,0.425041117
106,1,0.190673283
107,0,0.111268516
108,0,0.196245392
109,0,0.14926669
110,1,0.301462303
111,0,0.089163281
112,0,0.343383708
113,0,0.264654672
114,0,0.061843799
115,1,0.064901724
116,0,0.125909859
117,0,0.442636622
118,0,0.278000973
119,1,0.351090996
120,0,0.257998934
121,0,0.122894551
122,0,0.202048779
123,0,0.217493284
124,0,0.356666653
125,0,0.128312527
126,1,0.262554023
127,1,0.237765525
128,1,0.677843011
129,0,0.219774573
130,0,0.070387037
131,0,0.060620596
132,0,0.149608595
133,0,0.070581401
134,0,0.021023786
135,0,0.131347929
136,0,0.403244092
137,0,0.198181798
138,0,0.092370086
139,1,0.48712934
140,1,0.103169681
141,0,0.406729806
142,0,0.036731054
143,0,0.165189215
144,1,0.310783031
145,1,0.189086909
146,0,0.043573157
147,0,0.158474911
148,0,0.18388161
149,0,0.249937491
150,0,0.041719388
151,0,0.133433489
152,1,0.37815237
153,0,0.159582077
154,0,0.203845598
155,0,0.115357671
156,1,0.388441523
157,0,0.141731794
158,0,0.045452965
159,0,0.636505195
160,0,0.383759257
161,0,0.039469963
162,0,0.081935812
163,0,0.444138297
164,0,0.072129735
165,1,0.118397375
166,0,0.082039996
167,1,0.22670465
168,0,0.329101026
169,1,0.227190838
170,0,0.131735094
171,0,0.196075277
172,0,0.174697819
173,1,0.451899431
174,0,0.127795764
175,0,0.063143692
176,0,0.109326675
177,0,0.056454966
178,0,0.296638904
179,0,0.137684844
180,1,0.743794049
181,0,0.176331958
182,0,0.303274277
183,0,0.56460535
184,0,0.069924278
185,1,0.177992605
186,0,0.095214276
187,0,0.30767191
188,0,0.097728801
189,0,0.029487628
190,0,0.357909416
191,1,0.293440039
192,0,0.266303268
193,0,0.177182495
194,0,0.133275634
195,0,0.099814034
196,0,0.058921071
197,0,0.055320561
198,0,0.137715573
199,0,0.177416014
200,0,0.172571735
201,0,0.040946715
202,0,0.094414579
203,1,0.132590432
204,1,0.11409315
205,0,0.162334918
206,0,0.056575033
207,1,0.35021836
208,0,0.059779853
209,1,0.222448614
210,0,0.124389474
211,0,0.25075574
212,0,0.030470193
213,0,0.238964227
214,0,0.097339501
215,0,0.172878463
216,1,0.243085911
217,0,0.284633924
218,0,0.140174421
219,1,0.232879332
220,1,0.156229657
221,0,0.063985181
222,0,0.033512321
223,0,0.073013995
224,1,0.087671228
225,1,0.219358489
226,0,0.172370518
227,0,0.043801902
228,1,0.215239276
229,1,0.544470347
230,0,0.327040032
231,0,0.397164662
232,0,0.166854991
233,0,0.089086153
234,0,0.039451621
235,0,0.522754015
236,1,0.383786635
237,0,0.049176284
238,1,0.534717949
239,1,0.307602641
240,0,0.035183504
241,0,0.135638013
242,0,0.470380184
243,0,0.060383767
244,1,0.584686743
245,0,0.109442057
246,1,0.307774273
247,0,0.149265049
248,0,0.041236512
249,0,0.057275184
250,1,0.596227768
251,0,0.406177434
252,0,0.069562811
253,0,0.652147812
254,0,0.153412443
255,0,0.071094683
256,0,0.062007733
257,0,0.033649164
258,0,0.356498285
259,0,0.069952059
260,0,0.133657196
261,0,0.15861724
262,0,0.441874815
263,0,0.204470285
264,0,0.058430413
265,0,0.041728141
266,0,0.264705005
267,0,0.044109769
268,0,0.115318918
269,1,0.244348805
270,0,0.375299869
271,0,0.058353546
272,1,0.235619027
273,0,0.162485009
274,0,0.073978188
275,0,0.076628594
276,0,0.072356455
277,1,0.24294594
278,0,0.399310419
279,0,0.061124565
280,1,0.238086716
281,0,0.047442904
282,0,0.022905474
283,1,0.138872703
284,0,0.088067066
285,0,0.033642546
286,0,0.195564321
287,0,0.11506836
288,0,0.222154433
289,0,0.052713161
290,0,0.10083723
291,0,0.172185232
292,0,0.302142586
293,0,0.066265044
294,1,0.212333538
295,0,0.050944945
296,0,0.083913695
297,0,0.076008788
298,1,0.259440409
299,0,0.297939963
300,0,0.036148151
301,0,0.124473128
302,0,0.264490091
303,0,0.104298053
304,0,0.055733179
305,0,0.154912122
306,0,0.049894271
307,1,0.076966832
308,0,0.271087171
309,1,0.377978677
310,0,0.251151186
311,0,0.658631906
312,0,0.208168076
313,0,0.139119122
314,0,0.796347335
315,0,0.066383834
316,0,0.1440683
317,1,0.377584734
318,0,0.060298943
319,0,0.086754945
320,0,0.093376993
321,0,0.39057228
322,0,0.068662688
323,1,0.219654236
324,0,0.129879193
325,0,0.078279698
326,0,0.160402238
327,0,0.120011842
328,1,0.407928498
329,0,0.12950692
330,0,0.060008428
331,0,0.109144891
332,0,0.33534487
333,0,0.203700682
334,1,0.326018228
335,0,0.276304844
336,1,0.121750185
337,0,0.152643401
338,0,0.102041365
339,1,0.287041217
340,1,0.45206571
341,1,0.236217485
342,0,0.128603538
343,0,0.156555838
344,0,0.047530354
345,0,0.086651297
346,0,0.244203759
347,0,0.359171302
348,0,0.457699209
349,0,0.16908277
350,0,0.056411739
351,0,0.047494652
352,0,0.078934269
353,0,0.215944496
354,0,0.019657359
355,0,0.190350348
356,0,0.092229011
357,0,0.297598857
358,1,0.157048721
359,0,0.093463772
360,0,0.203758481
361,0,0.024888566
362,1,0.343480721
363,0,0.238986978
364,0,0.306115842
365,0,0.307320712
366,0,0.067201891
367,0,0.514227044
368,0,0.189589962
369,0,0.108732372
370,0,0.190294696
371,0,0.092766687
372,0,0.809108014
373,0,0.095917993
374,0,0.092057491
375,0,0.103971199
376,0,0.085558848
377,1,0.172500575
378,0,0.174156781
379,0,0.190823453
380,1,0.208703382
381,0,0.1842536
382,0,0.152097606
383,0,0.132631851
384,0,0.171583783
385,0,0.440351215
386,0,0.42990105
387,0,0.219582384
388,0,0.231797382
389,0,0.130967437
390,0,0.098274044
391,0,0.125978276
392,0,0.145946051
393,1,0.271235545
394,1,0.136580976
395,0,0.053683837
396,0,0.209435273
397,0,0.058285158
398,0,0.254868308
399,0,0.080607855
400,1,0.775054559
401,0,0.420125012
402,0,0.238850024
403,0,0.115659992
404,0,0.06770912
405,0,0.016356445
406,0,0.117172756
407,1,0.482196586
408,0,0.203669215
409,0,0.119803823
410,0,0.547454332
411,0,0.044411854
412,0,0.04710994
413,0,0.07564133
414,1,0.21962765
415,0,0.097682805
416,0,0.059351984
417,1,0.837359566
418,0,0.13017577
419,0,0.318000482
420,0,0.114546235
421,1,0.804985191
422,0,0.224047601
423,1,0.382832656
424,0,0.188616677
425,0,0.151976638
426,0,0.087942019
427,0,0.340609449
428,0,0.124671929
429,0,0.509257355
430,1,0.399371083
431,1,0.424325011
432,0,0.16523325
433,0,0.410951188
434,1,0.452488718
435,0,0.099935104
436,0,0.255743295
437,0,0.310686645
438,0,0.151822457
439,0,0.263872685
440,0,0.314789854
441,0,0.196541537
442,0,0.119240297
443,0,0.090961695
444,0,0.12734649
445,1,0.33985725
446,0,0.054645165
447,0,0.137244056
448,0,0.097371736
449,1,0.281467729
450,0,0.394350655
451,0,0.486246397
452,0,0.047937252
453,0,0.128089683
454,0,0.407390172
455,0,0.121580679
456,0,0.129215612
457,0,0.038122967
458,0,0.133635317
459,1,0.226076236
460,0,0.049639345
461,0,0.090538887
462,0,0.157034655
463,0,0.141483913
464,1,0.084086725
465,0,0.019744904
466,0,0.139284282
467,0,0.045509486
468,1,0.391904243
469,0,0.114209072
470,0,0.039495317
471,0,0.033817509
472,1,0.189627757
473,0,0.088713738
474,0,0.061509729
475,0,0.170865493
476,1,0.480812695
477,0,0.16371662
478,0,0.296568027
479,0,0.056378738
480,0,0.041272385
481,0,0.05306989
482,0,0.087981919
483,0,0.102020371
484,0,0.312533296
485,1,0.443094402
486,0,0.104516744
487,0,0.12367043
488,1,0.090372872
489,0,0.029383276
490,0,0.481251376
491,0,0.045359492
492,0,0.150557898
493,0,0.114404825
494,1,0.37291859
495,1,0.28092123
496,0,0.107571855
497,0,0.197008568
498,0,0.078577276
499,0,0.055793804
500,1,0.29851806
501,0,0.035864033
502,0,0.141678
503,1,0.52261877
504,0,0.098189723
505,0,0.282521835
506,0,0.089168774
507,0,0.212819085
508,0,0.492670446
509,0,0.015457953
510,0,0.08321565
511,0,0.138124413
512,0,0.438220048
513,0,0.099055227
514,0,0.054685884
515,1,0.278325258
516,0,0.117139175
517,1,0.240007917
518,0,0.27827429
519,1,0.132386317
520,0,0.249755586
521,1,0.23869666
522,0,0.206495476
523,0,0.070304789
524,0,0.094312809
525,0,0.340020947
526,0,0.049509276
527,0,0.071819888
528,0,0.059957698
529,1,0.663369952
530,0,0.045564731
531,0,0.367724373
532,0,0.054644364
533,0,0.047313808
534,0,0.159709492
535,0,0.330074016
536,1,0.463279592
537,0,0.259311217
538,0,0.096370939
539,1,0.597437941
540,1,0.295397254
541,0,0.056156344
542,0,0.020794786
543,0,0.162539566
544,1,0.394639686
545,1,0.162753834
546,0,0.347427714
547,0,0.149583594
548,0,0.325851896
549,0,0.151732491
550,0,0.017106467
551,0,0.397809904
552,1,0.245271638
553,0,0.126427547
554,0,0.116611509
555,0,0.280005132
556,1,0.244377226
557,0,0.361347308
558,1,0.403748502
559,0,0.132919542
560,0,0.46908208
561,0,0.134623597
562,0,0.321239177
563,0,0.066262378
564,1,0.377980496
565,0,0.118661677
566,0,0.047753168
567,1,0.528755193
568,0,0.473980923
569,0,0.082840205
570,0,0.025435823
571,0,0.113269952
572,1,0.232662781
573,0,0.13440491
574,1,0.156081518
575,0,0.079522468
576,0,0.039715286
577,0,0.241433801
578,0,0.038405567
579,0,0.269435571
580,0,0.054697628
581,0,0.110352246
582,1,0.087233029
583,0,0.278193131
584,0,0.325141066
585,1,0.68462806
586,1,0.506322129
587,1,0.411502523
588,0,0.079057397
589,0,0.14643085
590,1,0.438333692
591,1,0.216817785
592,0,0.183613126
593,0,0.088733534
594,0,0.137985711
595,0,0.047875778
596,0,0.537576478
597,0,0.170280007
598,0,0.150243777
599,1,0.773364132
600,0,0.202296794
601,1,0.103850901
602,0,0.045802544
603,0,0.516985288
604,1,0.092011814
605,0,0.064749349
606,0,0.028612496
607,0,0.134362778
608,0,0.067787236
609,0,0.039673415
610,0,0.693722005
611,0,0.12261958
612,0,0.104504626
613,0,0.501528383
614,0,0.079623854
615,0,0.064068929
616,1,0.151974741
617,0,0.180624571
618,1,0.830145633
619,0,0.103727963
620,0,0.072786634
621,0,0.159941065
622,0,0.131097466
623,0,0.46549386
624,0,0.123036213
625,0,0.255386936
626,0,0.141683715
627,0,0.050935243
628,0,0.343254803
629,0,0.098192422
630,0,0.157401344
631,1,0.631278922
632,1,0.740957162
633,0,0.186711955
634,0,0.216520869
635,1,0.101046417
636,0,0.396614928
637,0,0.16252374
638,0,0.152243463
639,0,0.149754855
640,0,0.248924917
641,1,0.319199596
642,0,0.170646872
643,0,0.065842947
644,1,0.482411817
645,1,0.271059954
646,1,0.218815477
647,0,0.046214039
648,0,0.196446525
649,0,0.210914699
650,0,0.049604938
651,0,0.170854888
652,0,0.129840796
653,0,0.250273566
654,1,0.295730893
655,0,0.039735059
656,0,0.067138644
657,0,0.033317208
658,0,0.487767182
659,0,0.355609006
660,0,0.1193771
661,0,0.275835589
